timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770991006,2026-02-13T21:56:46.231531,0.0135,0.014,0.013,0.001,136878.08,49074.06
1770991464,2026-02-13T22:04:24.727868,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991525,2026-02-13T22:05:25.218724,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991585,2026-02-13T22:06:25.342614,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991645,2026-02-13T22:07:25.234851,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991705,2026-02-13T22:08:25.231875,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991765,2026-02-13T22:09:25.508721,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991825,2026-02-13T22:10:25.221371,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991885,2026-02-13T22:11:25.240498,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770991944,2026-02-13T22:12:24.935555,0.0135,0.014,0.013,0.001,141639.08,48574.06
1770992005,2026-02-13T22:13:25.094134,0.0135,0.014,0.013,0.001,141308.12,47630.06
1770992065,2026-02-13T22:14:25.108061,0.0135,0.014,0.013,0.001,141308.12,47630.06
1770992125,2026-02-13T22:15:25.314998,0.0135,0.014,0.013,0.001,141308.12,47630.06
1770992184,2026-02-13T22:16:24.954032,0.0135,0.014,0.013,0.001,141306.09,47630.06
1770992245,2026-02-13T22:17:25.263546,0.0135,0.014,0.013,0.001,141306.09,47630.06
1770992305,2026-02-13T22:18:25.165270,0.0135,0.014,0.013,0.001,141306.09,47830.06
1770992365,2026-02-13T22:19:25.228382,0.0135,0.014,0.013,0.001,141306.09,37258.63
1770992425,2026-02-13T22:20:25.223220,0.0135,0.014,0.013,0.001,141562.09,37258.63
1770992485,2026-02-13T22:21:25.451809,0.0135,0.014,0.013,0.001,141562.09,37258.63
1770992545,2026-02-13T22:22:25.182583,0.0135,0.014,0.013,0.001,141562.09,37258.63
